Fee Status,Payment Date,Student ID
Paid,December 25,SID1000
Paid,May 2,SID1000
Paid,July 22,SID1000
Paid,April 4,SID1000
Paid,August 20,SID1000
Paid,November 14,SID1000
Paid,September 10,SID1000
Paid,July 22,SID1000
Paid,July 22,SID1000
Paid,June 11,SID1001
Paid,February 13,SID1001
Paid,May 2,SID1001
Paid,November 14,SID1001
Paid,December 25,SID1001
Paid,September 10,SID1001
Paid,August 20,SID1001
Paid,June 11,SID1001
Paid,July 22,SID1002
Paid,September 10,SID1002
Paid,September 10,SID1002
Paid,February 13,SID1002
Paid,April 4,SID1002
Paid,February 13,SID1002
Paid,June 11,SID1002
Paid,April 4,SID1002
Paid,August 20,SID1003
Paid,January 6,SID1003
Paid,May 2,SID1003
Paid,January 6,SID1003
Paid,December 25,SID1003
Paid,October 5,SID1003
Paid,June 11,SID1003
Paid,April 4,SID1004
Paid,June 11,SID1004
Paid,April 4,SID1004
Paid,September 10,SID1004
Paid,January 6,SID1004
Paid,January 6,SID1004
Paid,February 13,SID1004
Paid,December 25,SID1005
Paid,October 5,SID1005
Paid,December 25,SID1005
Paid,April 4,SID1005
Paid,September 10,SID1005
Paid,September 10,SID1005
Paid,July 22,SID1005
Paid,October 5,SID1006
Paid,December 25,SID1006
Paid,November 14,SID1006
Paid,October 5,SID1006
Paid,October 5,SID1006
Paid,August 20,SID1007
Paid,January 6,SID1007
Paid,June 11,SID1007
Paid,November 14,SID1007
Paid,September 10,SID1007
Paid,July 22,SID1007
Paid,November 14,SID1008
Paid,July 22,SID1008
Paid,December 25,SID1008
Paid,October 5,SID1008
Paid,November 14,SID1008
Paid,March 20,SID1009
Paid,August 20,SID1009
Paid,July 22,SID1009
Paid,March 20,SID1009
Paid,August 20,SID1009
Paid,November 14,SID1009
Paid,April 4,SID1009
Paid,June 11,SID1009
Paid,August 20,SID1009
Paid,August 20,SID1009
